Date (ex: 2022-08-25),Plan Number (ex: UP20221101001470),Finish Good GMC (ex: VFQ2410),Model (ex: B121SC3),Color (ex: PE),Destination (ex: LZ)
11/10/2022,UP20221122001536,ZF42500,B3,PE,LZ
11/10/2022,UP20221122001537,ZF42500,B3,PE,LZ
11/10/2022,UP20221122001538,ZF42500,B3,PE,LZ
11/10/2022,UP20221122001539,ZF42500,B3,PE,LZ
11/10/2022,UP20221122001549,ZF71250,B2,PE,LZ
11/9/2022,UP20221123001473,VFQ2640,B1SC3,PE,EP
11/9/2022,UP20221123001474,VFQ2640,B1SC3,PE,EP
11/9/2022,UP20221123001475,VFQ2640,B1SC3,PE,EP
11/9/2022,UP20221123001476,VFQ2640,B1SC3,PE,EP
11/9/2022,UP20221123001482,VFQ2660,B1SC3,PWH,EP
11/9/2022,UP20221123001483,VFQ2660,B1SC3,PWH,EP
11/9/2022,UP20221123001484,VFQ2660,B1SC3,PWH,EP
11/11/2022,UP20221025000171,VCM7900,P22D,SW,LZ
11/11/2022,UP20221025000223,VCM7900,P22D,SW,LZ
11/11/2022,UP20221025000236,VCM7890,P22D,SE,LZ
11/11/2022,UP20221026000146,VCM7900,P22D,SW,LZ
11/11/2022,UP20221026000159,VCM7890,P22D,SE,LZ
11/11/2022,UP20221026000185,VCM7900,P22D,SW,LZ
11/11/2022,UP20221026000198,VCM7910,P22D,DO,LZ
11/11/2022,UP20221027000134,VCM7890,P22D,SE,LZ
11/11/2022,UP20221027000174,VCM7900,P22D,SW,LZ
11/11/2022,UP20221027000186,VCM7890,P22D,SE,LZ
11/11/2022,UP20221027000199,VCM7900,P22D,SW,LZ
11/11/2022,UP20221028000239,VAR8160,P121GC,PE,AZ
11/11/2022,UP20221104001469,VAR8170,P121GC,PE,LZ
11/11/2022,UP20221104001525,WT58060,P121G,PE,EZ
11/10/2022,UP20221107001502,VFQ3340,P121SH3,PE,EP
11/11/2022,UP20221107001503,VFQ3340,P121SH3,PE,EP
11/11/2022,UP20221107001504,VFQ3350,P121SH3,PEC,EP
11/11/2022,UP20221107001505,VFQ3360,P121SH3,PWH,EP
11/11/2022,UP20221107001466,VAR8170,P121GC,PE,LZ
11/11/2022,UP20221107001526,WT58060,P121G,PE,EZ
11/11/2022,UP20221107001467,VAR8170,P121GC,PE,LZ
11/11/2022,UP20221108001507,VFQ3340,P121SH3,PE,EP
11/10/2022,UP20221116001478,VFQ2590,U1JSC3,PE,AP2
11/10/2022,UP20221116001522,WH50350,JU109,PE,AZ
11/10/2022,UP20221116001523,WH50350,JU109,PE,AZ
11/10/2022,UP20221116001524,WH50350,JU109,PE,AZ
11/10/2022,UP20221116001525,WH50350,JU109,PE,AZ
11/10/2022,UP20221116001526,WH50350,JU109,PE,AZ
11/10/2022,UP20221116001527,WH50350,JU109,PE,AZ
11/10/2022,UP20221116001532,WH50410,JX113T,PE,AZ
11/11/2022,UP20221116001454,AAC7366,U1J,PE,AZ
11/11/2022,UP20221116001470,VAN1280,B121,PE,AZ
11/11/2022,UP20221116001471,VAN1280,B121,PE,AZ
11/11/2022,UP20221116001472,VAN1280,B121,PE,AZ
11/11/2022,UP20221116001473,VAN1280,B121,PE,AZ
11/11/2022,UP20221116001474,VAN1280,B121,PE,AZ
11/10/2022,UP20221117001511,WH50350,JU109,PE,AZ
11/10/2022,UP20221117001512,WH50350,JU109,PE,AZ
11/10/2022,UP20221117001513,WH50350,JU109,PE,AZ
11/10/2022,UP20221117001514,WH50350,JU109,PE,AZ
11/10/2022,UP20221117001515,WH50350,JU109,PE,AZ
11/10/2022,UP20221117001516,WH50350,JU109,PE,AZ
11/10/2022,UP20221117001517,WH50350,JU109,PE,AZ
11/10/2022,UP20221117001518,WH50350,JU109,PE,AZ
11/10/2022,UP20221117001535,WH50370,JU109,PM,AZ
11/11/2022,UP20221117001474,VFQ2590,U1JSC3,PE,AP2
11/11/2022,UP20221117001453,AAC7366,U1J,PE,AZ
11/11/2022,UP20221117001460,VAN1280,B121,PE,AZ
11/11/2022,UP20221117001461,VAN1280,B121,PE,AZ
11/11/2022,UP20221117001462,VAN1280,B121,PE,AZ
11/11/2022,UP20221117001463,VAN1280,B121,PE,AZ
11/11/2022,UP20221117001464,VAN1280,B121,PE,AZ
11/11/2022,UP20221117001465,VAN1280,B121,PE,AZ
11/10/2022,UP20221118001475,VFQ2380,B113SC3,PE,JP
11/11/2022,UP20221118001477,VFQ2590,U1JSC3,PE,AP2
11/10/2022,UP20221122001491,VFQ2690,B2ESC3,PE,EP
11/10/2022,UP20221122001492,VFQ2690,B2ESC3,PE,EP
11/10/2022,UP20221122001496,VFQ2700,B2ESC3,PWH,EP
11/10/2022,UP20221122001497,VFQ2700,B2ESC3,PWH,EP
11/10/2022,UP20221122001503,VFQ2740,B3ESC3,PE,EP
11/10/2022,UP20221122001550,ZF71250,B2,PE,LZ
11/10/2022,UP20221122001551,ZF71250,B2,PE,LZ
11/10/2022,UP20221122001552,ZF71250,B2,PE,LZ
11/10/2022,UP20221122001553,ZF71250,B2,PE,LZ
11/10/2022,UP20221122001554,ZF71250,B2,PE,LZ
11/10/2022,UP20221122001559,ZH66250,B3E,PE,EZ
11/10/2022,UP20221122001560,ZH66250,B3E,PE,EZ
11/10/2022,UP20221122001561,ZH66250,B3E,PE,EZ
11/10/2022,UP20221122001565,ZJ73720,B2,PM,LZ
11/10/2022,UP20221122001567,ZJ73750,B3,PM,LZ
11/10/2022,UP20221122001527,WH50360,JU109,PE,LZ
11/10/2022,UP20221122001528,WH50360,JU109,PE,LZ
11/10/2022,UP20221122001529,WH50360,JU109,PE,LZ
11/10/2022,UP20221122001530,WH50360,JU109,PE,LZ
11/10/2022,UP20221122001555,ZF71250,B2,PE,LZ
11/10/2022,UP20221122001556,ZF71250,B2,PE,LZ
11/10/2022,UP20221122001557,ZF71250,B2,PE,LZ
11/10/2022,UP20221122001558,ZF71250,B2,PE,LZ
11/11/2022,UP20221122001451,AAC7368,U1J,PE,LZ
11/11/2022,UP20221122001540,ZF42500,B3,PE,LZ
11/11/2022,UP20221122001541,ZF42500,B3,PE,LZ
11/11/2022,UP20221122001542,ZF42500,B3,PE,LZ
11/11/2022,UP20221122001543,ZF42500,B3,PE,LZ
11/11/2022,UP20221122001544,ZF42500,B3,PE,LZ
11/11/2022,UP20221122001545,ZF42500,B3,PE,LZ
11/11/2022,UP20221122001546,ZF42500,B3,PE,LZ
11/11/2022,UP20221122001547,ZF42500,B3,PE,LZ
11/11/2022,UP20221122001548,ZF42500,B3,PE,LZ
11/11/2022,UP20221122001562,ZH66250,B3E,PE,EZ
11/11/2022,UP20221122001563,ZH66250,B3E,PE,EZ
11/11/2022,UP20221122001564,ZH66250,B3E,PE,EZ
11/11/2022,UP20221122001566,ZJ73730,B2,PW,LZ
11/11/2022,UP20221122001568,ZJ73760,B3,PW,LZ
11/11/2022,UP20221122001569,ZN12160,B3E,PEC,EZ
11/10/2022,UP20221123001485,VFQ2660,B1SC3,PWH,EP
11/10/2022,UP20221123001490,VFQ2680,B1SC3,PEC,EP
11/10/2022,UP20221123001492,VFQ2690,B2ESC3,PE,EP
11/10/2022,UP20221123001493,VFQ2690,B2ESC3,PE,EP
11/10/2022,UP20221123001502,VFQ2780,B1SC3,PE,LP
11/10/2022,UP20221123001477,VFQ2640,B1SC3,PE,EP
11/10/2022,UP20221123001478,VFQ2640,B1SC3,PE,EP
11/10/2022,UP20221123001479,VFQ2640,B1SC3,PE,EP
11/10/2022,UP20221123001480,VFQ2640,B1SC3,PE,EP
11/10/2022,UP20221123001481,VFQ2640,B1SC3,PE,EP
11/11/2022,UP20221123001496,VFQ2740,B3ESC3,PE,EP
11/11/2022,UP20221123001497,VFQ2740,B3ESC3,PE,EP
11/11/2022,UP20221123001498,VFQ2740,B3ESC3,PE,EP
11/11/2022,UP20221123001499,VFQ2740,B3ESC3,PE,EP
11/11/2022,UP20221123001500,VFQ2740,B3ESC3,PE,EP
11/11/2022,UP20221123001503,VFQ2860,B3SC3,PE,LP
11/11/2022,UP20221123001486,VFQ2660,B1SC3,PWH,EP
11/11/2022,UP20221123001487,VFQ2660,B1SC3,PWH,EP
11/11/2022,UP20221123001488,VFQ2660,B1SC3,PWH,EP
11/11/2022,UP20221123001489,VFQ2660,B1SC3,PWH,EP
11/11/2022,UP20221123001491,VFQ2680,B1SC3,PEC,EP
11/11/2022,UP20221123001494,VFQ2690,B2ESC3,PE,EP
11/11/2022,UP20221123001495,VFQ2690,B2ESC3,PE,EP
11/11/2022,UP20221123001450,AAC7368,U1J,PE,LZ
11/11/2022,UP20221123001517,WH50360,JU109,PE,LZ
11/11/2022,UP20221123001518,WH50360,JU109,PE,LZ
11/11/2022,UP20221123001519,WH50360,JU109,PE,LZ
11/11/2022,UP20221123001520,WH50360,JU109,PE,LZ
11/11/2022,UP20221123001521,WH50360,JU109,PE,LZ
11/11/2022,UP20221123001525,WN49700,JU109,PWH,LZ
11/11/2022,UP20221123001526,ZF42500,B3,PE,LZ
11/11/2022,UP20221123001527,ZF42500,B3,PE,LZ
11/11/2022,UP20221123001528,ZF42500,B3,PE,LZ
11/11/2022,UP20221123001544,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001545,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001546,ZF71250,B2,PE,LZ
11/14/2022,UP20221027000213,VCM7900,P22D,SW,LZ
11/14/2022,UP20221027000238,VCM7900,P22D,SW,LZ
11/14/2022,UP20221027000251,VCM7890,P22D,SE,LZ
11/14/2022,UP20221028000148,VCM7900,P22D,SW,LZ
11/14/2022,UP20221028000200,VCM7890,P22D,SE,LZ
11/14/2022,UP20221028000174,VCM7910,P22D,DO,LZ
11/14/2022,UP20221028000213,VCM7900,P22D,SW,LZ
11/14/2022,UP20221028000226,VCM7890,P22D,SE,LZ
11/14/2022,UP20221028000252,VCM7900,P22D,SW,LZ
11/14/2022,UP20221108001508,VFQ3340,P121SH3,PE,EP
11/14/2022,UP20221108001509,VFQ3350,P121SH3,PEC,EP
11/14/2022,UP20221108001470,VAR8170,P121GC,PE,LZ
11/14/2022,UP20221108001526,WT58060,P121G,PE,EZ
11/14/2022,UP20221108001471,VAR8170,P121GC,PE,LZ
11/14/2022,UP20221109001513,VFQ3340,P121SH3,PE,EP
11/14/2022,UP20221109001514,VFQ3340,P121SH3,PE,EP
11/14/2022,UP20221109001475,VAR8170,P121GC,PE,LZ
11/14/2022,UP20221109001539,WT58060,P121G,PE,EZ
11/14/2022,UP20221110001510,VFQ3340,P121SH3,PE,EP
11/11/2022,UP20221117001519,WH50350,JU109,PE,AZ
11/11/2022,UP20221117001520,WH50350,JU109,PE,AZ
11/11/2022,UP20221117001521,WH50350,JU109,PE,AZ
11/11/2022,UP20221117001522,WH50350,JU109,PE,AZ
11/11/2022,UP20221117001523,WH50350,JU109,PE,AZ
11/11/2022,UP20221117001524,WH50350,JU109,PE,AZ
11/11/2022,UP20221117001525,WH50350,JU109,PE,AZ
11/14/2022,UP20221117001454,AAC7366,U1J,PE,AZ
11/14/2022,UP20221117001466,VAN1280,B121,PE,AZ
11/14/2022,UP20221117001467,VAN1280,B121,PE,AZ
11/14/2022,UP20221117001468,VAN1280,B121,PE,AZ
11/14/2022,UP20221117001469,VAN1280,B121,PE,AZ
11/14/2022,UP20221117001470,VAN1280,B121,PE,AZ
11/14/2022,UP20221118001476,VFQ2530,JU109SC3,PE,AP2
11/14/2022,UP20221118001453,AAC7366,U1J,PE,AZ
11/14/2022,UP20221118001459,VAN1280,B121,PE,AZ
11/14/2022,UP20221118001460,VAN1280,B121,PE,AZ
11/14/2022,UP20221118001461,VAN1280,B121,PE,AZ
11/14/2022,UP20221118001462,VAN1280,B121,PE,AZ
11/14/2022,UP20221118001463,VAN1280,B121,PE,AZ
11/14/2022,UP20221118001464,VAN1280,B121,PE,AZ
11/14/2022,UP20221118001465,VAN1280,B121,PE,AZ
11/14/2022,UP20221118001466,VAN1280,B121,PE,AZ
11/14/2022,UP20221118001514,WH50350,JU109,PE,AZ
11/14/2022,UP20221118001515,WH50350,JU109,PE,AZ
11/14/2022,UP20221118001516,WH50350,JU109,PE,AZ
11/14/2022,UP20221118001517,WH50350,JU109,PE,AZ
11/14/2022,UP20221118001518,WH50350,JU109,PE,AZ
11/14/2022,UP20221118001519,WH50350,JU109,PE,AZ
11/14/2022,UP20221118001520,WH50350,JU109,PE,AZ
11/14/2022,UP20221121001475,VFQ2530,JU109SC3,PE,AP2
11/14/2022,UP20221121001476,VFQ2530,JU109SC3,PE,AP2
11/11/2022,UP20221123001501,VFQ2740,B3ESC3,PE,EP
11/11/2022,UP20221123001504,VFQ2860,B3SC3,PE,LP
11/11/2022,UP20221123001547,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001548,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001549,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001550,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001551,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001552,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001553,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001554,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001555,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001556,ZF71250,B2,PE,LZ
11/11/2022,UP20221123001557,ZF71250,B2,PE,LZ
11/14/2022,UP20221123001529,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001530,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001531,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001532,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001533,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001534,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001561,ZH66250,B3E,PE,EZ
11/14/2022,UP20221123001562,ZH66250,B3E,PE,EZ
11/14/2022,UP20221123001563,ZH66250,B3E,PE,EZ
11/14/2022,UP20221123001567,ZJ73750,B3,PM,LZ
11/14/2022,UP20221123001451,AAC7368,U1J,PE,LZ
11/14/2022,UP20221123001453,AAE6337,B1,PE,EZ
11/14/2022,UP20221123001522,WH50360,JU109,PE,LZ
11/14/2022,UP20221123001535,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001536,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001537,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001538,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001539,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001540,ZF42500,B3,PE,LZ
11/11/2022,UP20221124001470,VFQ2640,B1SC3,PE,EP
11/11/2022,UP20221124001471,VFQ2640,B1SC3,PE,EP
11/11/2022,UP20221124001472,VFQ2640,B1SC3,PE,EP
11/11/2022,UP20221124001473,VFQ2640,B1SC3,PE,EP
11/11/2022,UP20221124001479,VFQ2660,B1SC3,PWH,EP
11/11/2022,UP20221124001480,VFQ2660,B1SC3,PWH,EP
11/11/2022,UP20221124001481,VFQ2660,B1SC3,PWH,EP
11/11/2022,UP20221124001482,VFQ2660,B1SC3,PWH,EP
11/11/2022,UP20221124001487,VFQ2680,B1SC3,PEC,EP
11/11/2022,UP20221124001489,VFQ2690,B2ESC3,PE,EP
11/11/2022,UP20221124001490,VFQ2690,B2ESC3,PE,EP
11/11/2022,UP20221124001499,VFQ2780,B1SC3,PE,LP
11/14/2022,UP20221124001493,VFQ2740,B3ESC3,PE,EP
11/14/2022,UP20221124001494,VFQ2740,B3ESC3,PE,EP
11/14/2022,UP20221124001495,VFQ2740,B3ESC3,PE,EP
11/14/2022,UP20221124001496,VFQ2740,B3ESC3,PE,EP
11/14/2022,UP20221124001497,VFQ2740,B3ESC3,PE,EP
11/14/2022,UP20221124001500,VFQ2860,B3SC3,PE,LP
11/14/2022,UP20221124001474,VFQ2640,B1SC3,PE,EP
11/14/2022,UP20221124001475,VFQ2640,B1SC3,PE,EP
11/14/2022,UP20221124001476,VFQ2640,B1SC3,PE,EP
11/14/2022,UP20221124001477,VFQ2640,B1SC3,PE,EP
11/14/2022,UP20221124001478,VFQ2640,B1SC3,PE,EP
11/14/2022,UP20221124001483,VFQ2660,B1SC3,PWH,EP
11/14/2022,UP20221124001484,VFQ2660,B1SC3,PWH,EP
11/14/2022,UP20221124001485,VFQ2660,B1SC3,PWH,EP
11/14/2022,UP20221124001486,VFQ2660,B1SC3,PWH,EP
11/15/2022,UP20221109001476,VAR8170,P121GC,PE,LZ
11/15/2022,UP20221110001511,VFQ3340,P121SH3,PE,EP
11/15/2022,UP20221110001473,VAR8170,P121GC,PE,LZ
11/15/2022,UP20221110001537,WT58060,P121G,PE,EZ
11/15/2022,UP20221111001506,VFQ3340,P121SH3,PE,EP
11/15/2022,UP20221111001507,VFQ3340,P121SH3,PE,EP
11/15/2022,UP20221111001469,VAR8170,P121GC,PE,LZ
11/15/2022,UP20221111001534,WT58060,P121G,PE,EZ
11/15/2022,UP20221114001507,VFQ3340,P121SH3,PE,EP
11/15/2022,UP20221114001470,VAR8170,P121GC,PE,LZ
11/15/2022,UP20221118001454,AAC7366,U1J,PE,AZ
11/15/2022,UP20221118001467,VAN1280,B121,PE,AZ
11/15/2022,UP20221118001468,VAN1280,B121,PE,AZ
11/15/2022,UP20221118001469,VAN1280,B121,PE,AZ
11/15/2022,UP20221118001470,VAN1280,B121,PE,AZ
11/15/2022,UP20221118001471,VAN1280,B121,PE,AZ
11/15/2022,UP20221118001472,VAN1280,B121,PE,AZ
11/15/2022,UP20221118001473,VAN1280,B121,PE,AZ
11/15/2022,UP20221118001521,WH50350,JU109,PE,AZ
11/15/2022,UP20221118001522,WH50350,JU109,PE,AZ
11/15/2022,UP20221118001523,WH50350,JU109,PE,AZ
11/15/2022,UP20221118001524,WH50350,JU109,PE,AZ
11/15/2022,UP20221118001525,WH50350,JU109,PE,AZ
11/14/2022,UP20221121001474,VFQ2380,B113SC3,PE,JP
11/15/2022,UP20221121001477,VFQ2590,U1JSC3,PE,AP2
11/15/2022,UP20221121001453,AAC7366,U1J,PE,AZ
11/15/2022,UP20221121001458,VAN1280,B121,PE,AZ
11/15/2022,UP20221121001459,VAN1280,B121,PE,AZ
11/15/2022,UP20221121001460,VAN1280,B121,PE,AZ
11/15/2022,UP20221121001461,VAN1280,B121,PE,AZ
11/15/2022,UP20221121001462,VAN1280,B121,PE,AZ
11/15/2022,UP20221121001463,VAN1280,B121,PE,AZ
11/15/2022,UP20221121001464,VAN1280,B121,PE,AZ
11/15/2022,UP20221121001465,VAN1280,B121,PE,AZ
11/15/2022,UP20221121001466,VAN1280,B121,PE,AZ
11/15/2022,UP20221121001467,VAN1280,B121,PE,AZ
11/15/2022,UP20221121001513,WH50350,JU109,PE,AZ
11/15/2022,UP20221121001514,WH50350,JU109,PE,AZ
11/14/2022,UP20221122001470,VFQ2380,B113SC3,PE,JP
11/15/2022,UP20221122001471,VFQ2530,JU109SC3,PE,AP2
11/14/2022,UP20221123001541,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001542,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001543,ZF42500,B3,PE,LZ
11/14/2022,UP20221123001558,ZF71250,B2,PE,LZ
11/14/2022,UP20221123001559,ZF71250,B2,PE,LZ
11/14/2022,UP20221123001560,ZF71250,B2,PE,LZ
11/14/2022,UP20221123001564,ZH66250,B3E,PE,EZ
11/14/2022,UP20221123001565,ZH66250,B3E,PE,EZ
11/14/2022,UP20221123001566,ZH66250,B3E,PE,EZ
11/15/2022,UP20221123001568,ZJ73760,B3,PW,LZ
11/15/2022,UP20221123001569,ZN12160,B3E,PEC,EZ
11/14/2022,UP20221124001488,VFQ2680,B1SC3,PEC,EP
11/14/2022,UP20221124001491,VFQ2690,B2ESC3,PE,EP
11/14/2022,UP20221124001492,VFQ2690,B2ESC3,PE,EP
11/14/2022,UP20221124001449,AAE6337,B1,PE,EZ
11/14/2022,UP20221124001450,AAE6337,B1,PE,EZ
11/14/2022,UP20221124001514,WH50360,JU109,PE,LZ
11/14/2022,UP20221124001515,WH50360,JU109,PE,LZ
11/14/2022,UP20221124001516,WH50360,JU109,PE,LZ
11/14/2022,UP20221124001517,WH50360,JU109,PE,LZ
11/14/2022,UP20221124001541,ZF71250,B2,PE,LZ
11/14/2022,UP20221124001542,ZF71250,B2,PE,LZ
11/14/2022,UP20221124001543,ZF71250,B2,PE,LZ
11/14/2022,UP20221124001544,ZF71250,B2,PE,LZ
11/14/2022,UP20221124001545,ZF71250,B2,PE,LZ
11/14/2022,UP20221124001546,ZF71250,B2,PE,LZ
11/14/2022,UP20221124001547,ZF71250,B2,PE,LZ
11/14/2022,UP20221124001548,ZF71250,B2,PE,LZ
11/14/2022,UP20221124001549,ZF71250,B2,PE,LZ
11/14/2022,UP20221124001550,ZF71250,B2,PE,LZ
11/15/2022,UP20221124001498,VFQ2740,B3ESC3,PE,EP
11/15/2022,UP20221124001501,VFQ2860,B3SC3,PE,LP
11/15/2022,UP20221124001447,AAC7368,U1J,PE,LZ
11/15/2022,UP20221124001522,WN49700,JU109,PWH,LZ
11/15/2022,UP20221124001523,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001524,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001525,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001526,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001527,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001528,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001529,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001530,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001531,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001558,ZH66250,B3E,PE,EZ
11/15/2022,UP20221124001559,ZH66250,B3E,PE,EZ
11/15/2022,UP20221124001560,ZH66250,B3E,PE,EZ
11/14/2022,UP20221125001487,VFQ2690,B2ESC3,PE,EP
11/14/2022,UP20221125001488,VFQ2690,B2ESC3,PE,EP
11/15/2022,UP20221125001466,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001467,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001468,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001469,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001470,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001471,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001472,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001485,VFQ2680,B1SC3,PEC,EP
11/15/2022,UP20221125001490,VFQ2740,B3ESC3,PE,EP
11/15/2022,UP20221125001491,VFQ2740,B3ESC3,PE,EP
11/15/2022,UP20221125001492,VFQ2740,B3ESC3,PE,EP
11/15/2022,UP20221125001493,VFQ2740,B3ESC3,PE,EP
11/15/2022,UP20221125001494,VFQ2740,B3ESC3,PE,EP
11/15/2022,UP20221125001495,VFQ2740,B3ESC3,PE,EP
11/15/2022,UP20221125001496,VFQ2860,B3SC3,PE,LP
11/15/2022,UP20221125001497,VFQ2860,B3SC3,PE,LP
11/15/2022,UP20221125001473,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001474,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001475,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001476,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001477,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001478,VFQ2640,B1SC3,PE,EP
11/16/2022,UP20221114001508,VFQ3340,P121SH3,PE,EP
11/16/2022,UP20221114001532,WT58060,P121G,PE,EZ
11/16/2022,UP20221115001509,VFQ3340,P121SH3,PE,EP
11/16/2022,UP20221115001510,VFQ3340,P121SH3,PE,EP
11/16/2022,UP20221115001472,VAR8170,P121GC,PE,LZ
11/16/2022,UP20221115001531,WT58060,P121G,PE,EZ
11/16/2022,UP20221116001512,VFQ3340,P121SH3,PE,EP
11/16/2022,UP20221116001513,VFQ3340,P121SH3,PE,EP
11/16/2022,UP20221116001475,VAR8170,P121GC,PE,LZ
11/16/2022,UP20221117001508,VFQ3340,P121SH3,PE,EP
11/15/2022,UP20221121001515,WH50350,JU109,PE,AZ
11/15/2022,UP20221121001516,WH50350,JU109,PE,AZ
11/16/2022,UP20221121001468,VAN1280,B121,PE,AZ
11/16/2022,UP20221121001469,VAN1280,B121,PE,AZ
11/16/2022,UP20221121001470,VAN1280,B121,PE,AZ
11/16/2022,UP20221121001471,VAN1280,B121,PE,AZ
11/16/2022,UP20221121001472,VAN1280,B121,PE,AZ
11/16/2022,UP20221121001517,WH50350,JU109,PE,AZ
11/16/2022,UP20221121001518,WH50350,JU109,PE,AZ
11/16/2022,UP20221121001519,WH50350,JU109,PE,AZ
11/16/2022,UP20221121001520,WH50350,JU109,PE,AZ
11/16/2022,UP20221121001521,WH50350,JU109,PE,AZ
11/16/2022,UP20221121001522,WH50350,JU109,PE,AZ
11/16/2022,UP20221121001523,WH50350,JU109,PE,AZ
11/16/2022,UP20221122001472,VFQ2530,JU109SC3,PE,AP2
11/16/2022,UP20221122001473,VFQ2590,U1JSC3,PE,AP2
11/16/2022,UP20221123001470,VFQ2530,JU109SC3,PE,AP2
11/15/2022,UP20221124001448,AAC7368,U1J,PE,LZ
11/15/2022,UP20221124001451,AAE6337,B1,PE,EZ
11/15/2022,UP20221124001518,WH50360,JU109,PE,LZ
11/15/2022,UP20221124001532,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001533,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001534,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001535,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001536,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001537,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001538,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001539,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001540,ZF42500,B3,PE,LZ
11/15/2022,UP20221124001551,ZF71250,B2,PE,LZ
11/15/2022,UP20221124001552,ZF71250,B2,PE,LZ
11/15/2022,UP20221124001553,ZF71250,B2,PE,LZ
11/15/2022,UP20221124001554,ZF71250,B2,PE,LZ
11/15/2022,UP20221124001555,ZF71250,B2,PE,LZ
11/15/2022,UP20221124001556,ZF71250,B2,PE,LZ
11/15/2022,UP20221124001557,ZF71250,B2,PE,LZ
11/15/2022,UP20221124001561,ZH66250,B3E,PE,EZ
11/15/2022,UP20221124001562,ZH66250,B3E,PE,EZ
11/15/2022,UP20221124001563,ZH66250,B3E,PE,EZ
11/15/2022,UP20221124001564,ZJ73750,B3,PM,LZ
11/15/2022,UP20221124001565,ZJ73760,B3,PW,LZ
11/15/2022,UP20221124001566,ZN12160,B3E,PEC,EZ
11/15/2022,UP20221125001479,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001480,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001481,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001482,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001483,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001484,VFQ2640,B1SC3,PE,EP
11/15/2022,UP20221125001486,VFQ2680,B1SC3,PEC,EP
11/15/2022,UP20221125001489,VFQ2690,B2ESC3,PE,EP
11/15/2022,UP20221125001447,AAC7368,U1J,PE,LZ
11/15/2022,UP20221125001449,AAE6337,B1,PE,EZ
11/15/2022,UP20221125001450,AAE6337,B1,PE,EZ
11/15/2022,UP20221125001451,AAE6337,B1,PE,EZ
11/15/2022,UP20221125001517,ZF42500,B3,PE,LZ
11/15/2022,UP20221125001518,ZF42500,B3,PE,LZ
11/15/2022,UP20221125001532,ZF71250,B2,PE,LZ
11/15/2022,UP20221125001533,ZF71250,B2,PE,LZ
